chromosome,start,end,gene,score,orientation
chrVIII,239070,239071,YHR072W,.,+
chrVII,729703,729704,YGR119C,.,-
chrXVI,49267,49268,YPL260W,.,+
chrVIII,436985,436986,YHR165C,.,-
chrXII,623922,623923,YLR242C,.,-
chrII,642249,642250,YBR208C,.,-
chrXI,247722,247723,YKL103C,.,-
chrIII,176480,176481,YCR030C,.,-
chrII,618864,618865,YBR199W,.,+
chrX,612365,612366,YJR097W,.,+
chrIV,1339628,1339629,YDR439W,.,+
chrIV,1342444,1342445,YDR440W,.,+
chrIV,1287986,1287987,YDR407C,.,-
chrXIV,579525,579526,YNL027W,.,+
chrVII,288449,288450,YGL117W,.,+
chrXVI,742126,742127,YPR107C,.,-
chrIII,236384,236385,YCR067C,.,-
chrVIII,180280,180281,YHR036W,.,+
chrXVI,529657,529658,YPL012W,.,+
chrXV,844696,844697,YOR279C,.,-
chrXI,188713,188714,YKL135C,.,-
chrXIII,586476,586477,YMR163C,.,-
chrIV,321642,321643,YDL076C,.,-
chrIV,1362781,1362782,YDR452W,.,+
chrIX,102685,102686,YIL130W,.,+
chrXII,576726,576727,YLR220W,.,+
chrXV,417783,417784,YOR047C,.,-
chrIV,765261,765262,YDR151C,.,-
chrI,177133,177134,YAR020C,.,-
chrVIII,400959,400960,YHR151C,.,-
chrIV,68721,68722,YDL217C,.,-
chrVII,293260,293261,YGL114W,.,+
chrXIV,282166,282167,YNL190W,.,+
chrVII,656731,656732,YGR089W,.,+
chrXII,993190,993191,YLR430W,.,+
chrIV,501323,501324,YDR028C,.,-
chrXI,425936,425937,YKL010C,.,-
chrXIII,10102,10103,YML131W,.,+
chrXII,878123,878124,YLR380W,.,+
chrXV,978289,978290,YOR344C,.,-
chrVIII,422672,422673,YHR161C,.,-
chrVII,672240,672241,YGR094W,.,+
chrXII,301975,301976,YLR085C,.,-
chrIV,768102,768103,YDR153C,.,-
chrXIV,574396,574397,YNL032W,.,+
chrXII,281844,281845,YLR073C,.,-
chrIV,675610,675611,YDR109C,.,-
chrIV,693204,693205,YDR120C,.,-
chrXII,260492,260493,YLR059C,.,-
chrVII,499857,499858,YGR002C,.,-
chrXV,126654,126655,YOL102C,.,-
chrXV,322960,322961,YOL003C,.,-
chrVIII,276796,276797,YHR085W,.,+
chrXIV,613137,613138,YNL011C,.,-
chrXIV,86248,86249,YNL290W,.,+
chrXVI,30512,30513,YPL270W,.,+
chrXVI,895990,895991,YPR180W,.,+
chrV,65136,65137,YEL048C,.,-
chrVII,411256,411257,YGL048C,.,-
chrVI,36827,36828,YFL049W,.,+
chrXI,393744,393745,YKL023W,.,+
chrXII,948391,948392,YLR412W,.,+
chrXIV,670168,670169,YNR022C,.,-
chrXI,525051,525052,YKR046C,.,-
chrXII,498022,498023,YLR166C,.,-
chrVII,475225,475226,YGL011C,.,-
chrVIII,486609,486610,YHR191C,.,-
chrIV,1150501,1150502,YDR339C,.,-
chrXIV,670433,670434,YNR023W,.,+
chrIII,252612,252613,YCR077C,.,-
chrXVI,143157,143158,YPL217C,.,-
chrXI,430619,430620,YKL006C-A,.,-
chrXII,579011,579012,YLR221C,.,-
chrX,421651,421652,YJL008C,.,-
chrX,83456,83457,YJL184W,.,+
chrVII,639503,639504,YGR077C,.,-
chrXI,349470,349471,YKL047W,.,+
chrXIII,671317,671318,YMR204C,.,-
chrIV,784208,784209,YDR164C,.,-
chrXV,1018741,1018742,YOR362C,.,-
chrVIII,402969,402970,YHR154W,.,+
chrXVI,292424,292425,YPL138C,.,-
chrXVI,563765,563766,YPR003C,.,-
chrXIV,108466,108467,YNL281W,.,+
chrXIV,695326,695327,YNR037C,.,-
chrIV,814152,814153,YDR175C,.,-
chrXV,83828,83829,YOL125W,.,+
chrXV,710440,710441,YOR193W,.,+
chrXII,805113,805114,YLR337C,.,-
chrXII,523621,523622,YLR186W,.,+
chrXVI,364736,364737,YPL098C,.,-
chrXV,633826,633827,YOR160W,.,+
chrV,171830,171831,YER008C,.,-
chrXV,566204,566205,YOR128C,.,-
chrIV,524726,524727,YDR036C,.,-
chrIX,53721,53722,YIL155C,.,-
chrXI,185940,185941,YKL137W,.,+
chrXI,402551,402552,YKL019W,.,+
chrIV,443012,443013,YDL004W,.,+
chrXIII,534715,534716,YMR131C,.,-
chrXIII,560974,560975,YMR149W,.,+
chrXV,487681,487682,YOR087W,.,+
chrV,237145,237146,YER043C,.,-
chrIII,211576,211577,YCR047C,.,-
chrVII,355792,355793,YGL082W,.,+
chrXII,897711,897712,YLR387C,.,-
chrVII,397658,397659,YGL056C,.,-
chrII,147166,147167,YBL037W,.,+
chrII,107448,107449,YBL061C,.,-
chrXIII,523388,523389,YMR127C,.,-
chrVII,859519,859520,YGR183C,.,-
chrIV,1261631,1261632,YDR394W,.,+
chrXI,478116,478117,YKR019C,.,-
chrXVI,254749,254750,YPL157W,.,+
chrVII,409720,409721,YGL049C,.,-
chrIV,125122,125123,YDL188C,.,-
chrV,562760,562761,YER186C,.,-
chrVII,976718,976719,YGR241C,.,-
chrVII,417203,417204,YGL044C,.,-
chrXVI,724924,724925,YPR095C,.,-
chrII,17907,17908,YBL105C,.,-
chrIV,172160,172161,YDL160C,.,-
chrII,143141,143142,YBL039W-B,.,+
chrVII,1076092,1076093,YGR289C,.,-
chrXI,94188,94189,YKL185W,.,+
chrIV,1140851,1140852,YDR335W,.,+
chrXIII,774636,774637,YMR251W-A,.,+
chrXVI,132740,132741,YPL221W,.,+
chrXV,787050,787051,YOR241W,.,+
chrIV,455144,455145,YDR004W,.,+
chrX,189730,189731,YJL122W,.,+
chrV,525968,525969,YER170W,.,+
chrXVI,565160,565161,YPR004C,.,-
chrV,205129,205130,YER025W,.,+
chrXII,839274,839275,YLR355C,.,-
chrVIII,107640,107641,YHR001W-A,.,+
chrVIII,497222,497223,YHR198C,.,-
chrII,774743,774744,YBR286W,.,+
chrX,637070,637071,YJR112W,.,+
chrX,71403,71404,YJL193W,.,+
chrIV,1431049,1431050,YDR489W,.,+
chrVII,63581,63582,YGL231C,.,-
chrIX,88678,88679,YIL139C,.,-
chrXVI,672506,672507,YPR057W,.,+
chrXV,721979,721980,YOR202W,.,+
chrIV,375255,375256,YDL044C,.,-
chrXII,704927,704928,YLR281C,.,-
chrXII,987093,987094,YLR426W,.,+
chrVII,500160,500161,YGR003W,.,+
chrXIII,754191,754192,YMR242C,.,-
chrXII,552296,552297,YLR204W,.,+
chrXII,725388,725389,YLR298C,.,-
chrII,544465,544466,YBR150C,.,-
chrII,749343,749344,YBR273C,.,-
chrVII,446115,446116,YGL027C,.,-
chrV,270158,270159,YER056C-A,.,-
chrXII,707382,707383,YLR285W,.,+
chrII,242831,242832,YBR003W,.,+
chrIII,280139,280140,YCR093W,.,+
chrXII,66496,66497,YLL038C,.,-
chrXII,893648,893649,YLR386W,.,+
chrX,317303,317304,YJL062W,.,+
chrX,316455,316456,YJL063C,.,-
chrVII,636856,636857,YGR075C,.,-
chrXI,271894,271895,YKL090W,.,+
chrII,400873,400874,YBR080C,.,-
chrIV,790343,790344,YDR168W,.,+
chrVII,894708,894709,YGR198W,.,+
chrXVI,423876,423877,YPL069C,.,-
chrXVI,237094,237095,YPL167C,.,-
chrII,84248,84249,YBL076C,.,-
chrVII,280510,280511,YGL122C,.,-
chrXIV,699419,699420,YNR039C,.,-
chrVII,644053,644054,YGR082W,.,+
chrIV,255116,255117,YDL115C,.,-
chrXII,156325,156326,YLR002C,.,-
chrXIII,225358,225359,YML025C,.,-
chrXII,286824,286825,YLR079W,.,+
chrIII,118344,118345,YCR002C,.,-
chrX,278842,278843,YJL083W,.,+
chrXIII,101863,101864,YML082W,.,+
chrXII,912308,912309,YLR396C,.,-
chrXIII,497704,497705,YMR115W,.,+
chrXVI,581194,581195,YPR010C,.,-
chrIV,959800,959801,YDR249C,.,-
chrXVI,394037,394038,YPL084W,.,+
chrV,146950,146951,YEL004W,.,+
chrVI,238457,238458,YFR042W,.,+
chrVII,942215,942216,YGR223C,.,-
chrVII,352299,352300,YGL084C,.,-
chrII,723265,723266,YBR253W,.,+
chrXI,176486,176487,YKL144C,.,-
chrII,620865,620866,YBR200W,.,+
chrIX,183134,183135,YIL096C,.,-
chrII,257983,257984,YBR011C,.,-
chrII,294028,294029,YBR026C,.,-
chrVII,120919,120920,YGL201C,.,-
chrX,436786,436787,YJR001W,.,+
chrIV,1455889,1455890,YDR503C,.,-
chrII,298265,298266,YBR030W,.,+
chrX,133966,133967,YJL154C,.,-
chrXIV,227135,227136,YNL224C,.,-
chrII,716502,716503,YBR248C,.,-
chrV,387187,387188,YER112W,.,+
chrXV,386779,386780,YOR030W,.,+
chrIII,220112,220113,YCR054C,.,-
chrXV,528886,528887,YOR110W,.,+
chrXVI,251727,251728,YPL159C,.,-
chrII,24036,24037,YBL102W,.,+
chrVIII,173281,173282,YHR032W,.,+
chrXIV,255268,255269,YNL207W,.,+
chrIV,1249907,1249908,YDR387C,.,-
chrXIII,34154,34155,YML117W,.,+
chrII,164086,164087,YBL030C,.,-
chrIV,216055,216056,YDL137W,.,+
chrXIII,191870,191871,YML043C,.,-
chrXIV,57680,57681,YNL307C,.,-
chrII,704558,704559,YBR242W,.,+
chrX,605776,605777,YJR094C,.,-
chrXII,332443,332444,YLR096W,.,+
chrIII,168149,168150,YCR027C,.,-
chrXV,592885,592886,YOR142W,.,+
chrXII,130796,130797,YLL010C,.,-
chrXI,443037,443038,YKR002W,.,+
chrIV,416901,416902,YDL020C,.,-
chrII,23743,23744,YBL103C,.,-
chrIV,1306041,1306042,YDR420W,.,+
chrIX,261188,261189,YIL048W,.,+
chrXV,447123,447124,YOR065W,.,+
chrI,82526,82527,YAL034C,.,-
chrXI,264688,264689,YKL093W,.,+
chrX,526185,526186,YJR048W,.,+
chrXV,797321,797322,YOR247W,.,+
chrXII,586098,586099,YLR224W,.,+
chrXIII,856995,856996,YMR294W,.,+
chrXII,669646,669647,YLR262C-A,.,-
chrVIII,117824,117825,YHR006W,.,+
chrX,50437,50438,YJL205C,.,-
chrXVI,643836,643837,YPR036W,.,+
chrXVI,82471,82472,YPL248C,.,-
chrIV,32171,32172,YDL236W,.,+
chrIV,1153772,1153773,YDR341C,.,-
chrII,419205,419206,YBR085C-A,.,-
chrVIII,323343,323344,YHR104W,.,+
chrV,131563,131564,YEL012W,.,+
chrIV,1168936,1168937,YDR346C,.,-
chrIII,155054,155055,YCR020C-A,.,-
chrXVI,868263,868264,YPR162C,.,-
chrVII,123626,123627,YGL198W,.,+
chrII,441549,441550,YBR098W,.,+
chrXI,451184,451185,YKR006C,.,-
chrXVI,798082,798083,YPR134W,.,+
chrIV,156347,156348,YDL170W,.,+
chrXV,717114,717115,YOR197W,.,+
chrVII,730794,730795,YGR120C,.,-
chrVII,919438,919439,YGR213C,.,-
chrXIII,687539,687540,YMR210W,.,+
chrVIII,349596,349597,YHR120W,.,+
chrVII,182411,182412,YGL171W,.,+
chrXIII,330209,330210,YMR029C,.,-
chrXVI,309582,309583,YPL127C,.,-
chrXIII,715424,715425,YMR221C,.,-
chrXI,487787,487788,YKR025W,.,+
chrVI,252522,252523,YFR052W,.,+
chrXIII,804204,804205,YMR268C,.,-
chrXIV,366757,366758,YNL138W,.,+
chrXIV,419808,419809,YNL108C,.,-
chrVIII,227123,227124,YHR064C,.,-
chrII,582155,582156,YBR173C,.,-
chrVIII,219868,219869,YHR058C,.,-
chrXII,346598,346599,YLR104W,.,+
chrIV,245567,245568,YDL121C,.,-
chrIV,1322218,1322219,YDR427W,.,+
chrVII,1017744,1017745,YGR262C,.,-
chrVIII,251113,251114,YHR076W,.,+
chrVIII,210857,210858,YHR052W,.,+
chrIX,92777,92778,YIL137C,.,-
chrIX,360894,360895,YIR003W,.,+
chrII,578076,578077,YBR170C,.,-
chrIV,164298,164299,YDL165W,.,+
chrIV,471861,471862,YDR012W,.,+
chrXIII,158252,158253,YML059C,.,-
chrXVI,179281,179282,YPL194W,.,+
chrIV,1298155,1298156,YDR415C,.,-
chrXII,1014490,1014491,YLR439W,.,+
chrVII,317341,317342,YGL098W,.,+
chrXIV,708521,708522,YNR047W,.,+
chrIV,117662,117663,YDL191W,.,+
chrXV,92851,92852,YOL121C,.,-
chrXIV,408337,408338,YNL116W,.,+
chrXI,500277,500278,YKR030W,.,+
chrVIII,255764,255765,YHR077C,.,-
chrXIV,297636,297637,YNL182C,.,-
chrIV,789233,789234,YDR166C,.,-
chrXII,53948,53949,YLL041C,.,-
chrVI,162469,162470,YFR009W,.,+
chrXI,317076,317077,YKL065C,.,-
chrXVI,265006,265007,YPL152W,.,+
chrXII,286582,286583,YLR078C,.,-
chrIX,356920,356921,YIR001C,.,-
chrII,146155,146156,YBL038W,.,+
chrX,142598,142599,YJL147C,.,-
chrX,330154,330155,YJL057C,.,-
chrXIV,244433,244434,YNL215W,.,+
chrXVI,679652,679653,YPR065W,.,+
chrIV,159561,159562,YDL168W,.,+
chrII,203494,203495,YBL011W,.,+
chrVII,915196,915197,YGR211W,.,+
chrVII,98920,98921,YGL207W,.,+
chrXII,844232,844233,YLR359W,.,+
chrXVI,706914,706915,YPR084W,.,+
chrIV,1395063,1395064,YDR466W,.,+
chrXVI,429872,429873,YPL063W,.,+
chrXII,612289,612290,YLR237W,.,+
chrV,274479,274480,YER060W,.,+
chrXI,434964,434965,YKL005C,.,-
chrXIV,462319,462320,YNL087W,.,+
chrIV,746202,746203,YDR144C,.,-
chrVII,1025850,1025851,YGR267C,.,-
chrXIV,478174,478175,YNL080C,.,-
chrVIII,277985,277986,YHR086W,.,+
chrXIII,521959,521960,YMR126C,.,-
chrXIII,605694,605695,YMR171C,.,-
chrIV,907038,907039,YDR219C,.,-
chrXI,635625,635626,YKR099W,.,+
chrVI,196603,196604,YFR022W,.,+
chrX,236874,236875,YJL100W,.,+
chrXII,828624,828625,YLR350W,.,+
chrXII,514052,514053,YLR178C,.,-
chrI,21283,21284,YAL064W,.,+
chrII,624796,624797,YBR201C-A,.,-
chrVIII,451217,451218,YHR174W,.,+
chrXII,385410,385411,YLR118C,.,-
chrXV,901351,901352,YOR312C,.,-
chrXIV,266744,266745,YNL199C,.,-
chrX,538820,538821,YJR055W,.,+
chrIV,1204171,1204172,YDR364C,.,-
chrX,544097,544098,YJR057W,.,+
chrIV,1145126,1145127,YDR336W,.,+
chrII,159660,159661,YBL033C,.,-
chrVII,174576,174577,YGL174W,.,+
chrX,469814,469815,YJR022W,.,+
chrX,695934,695935,YJR141W,.,+
chrXV,627951,627952,YOR155C,.,-
chrVII,867491,867492,YGR185C,.,-
chrVIII,502414,502415,YHR202W,.,+
chrI,87308,87309,YAL030W,.,+
chrXIII,62299,62300,YML104C,.,-
chrXVI,627901,627902,YPR030W,.,+
chrIX,244439,244440,YIL062C,.,-
chrXVI,147436,147437,YPL215W,.,+
chrX,583752,583753,YJR084W,.,+
chrXII,830343,830344,YLR351C,.,-
chrXV,1009691,1009692,YOR357C,.,-
chrV,146734,146735,YEL005C,.,-
chrXVI,792705,792706,YPR129W,.,+
chrIV,1202146,1202147,YDR363W-A,.,+
chrVIII,292605,292606,YHR094C,.,-
chrV,123674,123675,YEL017W,.,+
chrVII,31927,31928,YGL250W,.,+
chrIV,1108718,1108719,YDR321W,.,+
chrV,541706,541707,YER176W,.,+
chrIX,316784,316785,YIL018W,.,+
chrIV,337502,337503,YDL064W,.,+
chrVII,49567,49568,YGL238W,.,+
chrIX,403474,403475,YIR024C,.,-
chrVIII,517546,517547,YHR208W,.,+
chrXIII,841955,841956,YMR286W,.,+
chrII,686577,686578,YBR234C,.,-
chrVII,924448,924449,YGR216C,.,-
chrXI,179678,179679,YKL141W,.,+
chrII,768251,768252,YBR282W,.,+
chrXIV,304603,304604,YNL177C,.,-
chrXV,733445,733446,YOR207C,.,-
chrXVI,126016,126017,YPL225W,.,+
chrII,767594,767595,YBR281C,.,-
chrVII,601671,601672,YGR056W,.,+
chrXIV,250305,250306,YNL211C,.,-
chrIII,231508,231509,YCR066W,.,+
chrX,320023,320024,YJL061W,.,+
chrXII,204998,204999,YLR032W,.,+
chrXIV,620074,620075,YNL006W,.,+
chrI,190197,190198,YAR035W,.,+
chrII,553194,553195,YBR156C,.,-
chrXVI,529345,529346,YPL013C,.,-
chrXVI,888977,888978,YPR175W,.,+
chrXIII,572250,572251,YMR158W,.,+
chrXIII,628191,628192,YMR184W,.,+
chrXV,401556,401557,YOR037W,.,+
chrXV,446735,446736,YOR064C,.,-
chrIII,225563,225564,YCR061W,.,+
chrVII,892184,892185,YGR196C,.,-
chrX,414769,414770,YJL011C,.,-
chrXV,453462,453463,YOR067C,.,-
chrVII,266142,266143,YGL130W,.,+
chrVII,457873,457874,YGL020C,.,-
chrVII,834485,834486,YGR168C,.,-
chrXII,556782,556783,YLR207W,.,+
chrIV,1146313,1146314,YDR337W,.,+
chrXV,853087,853088,YOR288C,.,-
chrXI,547936,547937,YKR054C,.,-
chrII,586174,586175,YBR177C,.,-
chrXI,75549,75550,YKL196C,.,-
chrXIII,517522,517523,YMR125W,.,+
chrXV,559748,559749,YOR125C,.,-
chrVII,947399,947400,YGR227W,.,+
chrXIV,586841,586842,YNL024C-A,.,-
chrII,664698,664699,YBR220C,.,-
chrXIV,491499,491500,YNL071W,.,+
chrII,60761,60762,YBL087C,.,-
chrIV,1062813,1062814,YDR300C,.,-
chrX,196261,196262,YJL115W,.,+
chrIV,258580,258581,YDL113C,.,-
chrXIII,743718,743719,YMR237W,.,+
chrXIV,247427,247428,YNL212W,.,+
chrVII,806054,806055,YGR158C,.,-
chrII,160144,160145,YBL032W,.,+
chrXII,259456,259457,YLR058C,.,-
chrXIV,65678,65679,YNL300W,.,+
chrIV,36559,36560,YDL234C,.,-
chrIV,560717,560718,YDR052C,.,-
chrXV,429957,429958,YOR054C,.,-
chrIV,1058932,1058933,YDR298C,.,-
chrIV,1125064,1125065,YDR326C,.,-
chrXIII,556617,556618,YMR145C,.,-
chrIX,160731,160732,YIL108W,.,+
chrXVI,420790,420791,YPL070W,.,+
chrXV,720232,720233,YOR198C,.,-
chrXVI,744516,744517,YPR109W,.,+
chrX,111342,111343,YJL164C,.,-
chrV,33661,33662,YEL063C,.,-
chrXIII,284893,284894,YMR010W,.,+
chrVII,662126,662127,YGR090W,.,+
chrXV,1059262,1059263,YOR382W,.,+
chrI,119916,119917,YAL017W,.,+
chrXII,633621,633622,YLR248W,.,+
chrVII,654555,654556,YGR088W,.,+
chrV,409160,409161,YER124C,.,-
chrVI,23308,23309,YFL053W,.,+
chrIV,1476644,1476645,YDR516C,.,-
chrVII,733718,733719,YGR122W,.,+
chrVIII,452812,452813,YHR175W,.,+
chrXI,573612,573613,YKR070W,.,+
chrIV,1489781,1489782,YDR524C-B,.,-
chrXIV,302678,302679,YNL178W,.,+
chrIV,583475,583476,YDR067C,.,-
chrXV,820441,820442,YOR265W,.,+
chrIV,76708,76709,YDL214C,.,-
chrI,71584,71585,YAL038W,.,+
chrV,492226,492227,YER159C,.,-
chrIII,142485,142486,YCR015C,.,-
chrVI,229439,229440,YFR038W,.,+
chrVII,216038,216039,YGL154C,.,-
chrI,54737,54738,YAL048C,.,-
chrXIV,40667,40668,YNL317W,.,+
chrV,254699,254700,YER051W,.,+
chrIV,221757,221758,YDL133C-A,.,-
chrXIII,743010,743011,YMR236W,.,+
chrVII,36972,36973,YGL247W,.,+
chrIX,47726,47727,YIL156W-B,.,+
chrXVI,459997,459998,YPL051W,.,+
chrIII,107057,107058,YCL005W-A,.,+
chrVII,270108,270109,YGL128C,.,-
chrIX,350332,350333,YIL002W-A,.,+
chrII,39174,39175,YBL098W,.,+
chrXV,205855,205856,YOL065C,.,-
chrVII,842521,842522,YGR171C,.,-
chrI,110401,110402,YAL022C,.,-
chrIX,378218,378219,YIR011C,.,-
chrVIII,177975,177976,YHR034C,.,-
chrXIII,124149,124150,YML073C,.,-
chrII,161720,161721,YBL031W,.,+
chrXV,644311,644312,YOR164C,.,-
chrII,724475,724476,YBR255W,.,+
chrVIII,172949,172950,YHR031C,.,-
chrIX,378505,378506,YIR012W,.,+
chrXIII,251496,251497,YML009C,.,-
chrXV,144222,144223,YOL092W,.,+
chrVI,80194,80195,YFL028C,.,-
chrIV,148207,148208,YDL173W,.,+
chrVI,167240,167241,YFR011C,.,-
chrXI,125774,125775,YKL172W,.,+
chrIX,243730,243731,YIL063C,.,-
chrXV,415894,415895,YOR046C,.,-
chrII,495326,495327,YBR129C,.,-
chrXIII,460515,460516,YMR097C,.,-
chrIX,334891,334892,YIL010W,.,+
chrI,92908,92909,YAL028W,.,+
chrXV,255342,255343,YOL038W,.,+
chrXI,296433,296434,YKL073W,.,+
chrXV,159175,159176,YOL086W-A,.,+
chrXV,364370,364371,YOR018W,.,+
chrIV,618303,618304,YDR087C,.,-
chrX,435162,435163,YJL001W,.,+
chrXVI,792207,792208,YPR128C,.,-
chrXV,482026,482027,YOR085W,.,+
chrIV,1394579,1394580,YDR465C,.,-
chrVIII,488650,488651,YHR194W,.,+
chrII,721381,721382,YBR251W,.,+
chrXV,101464,101465,YOL115W,.,+
chrXII,237713,237714,YLR045C,.,-
chrXIV,613623,613624,YNL010W,.,+
chrXV,210276,210277,YOL063C,.,-
chrXV,267542,267543,YOL031C,.,-
chrXVI,675644,675645,YPR060C,.,-
chrIV,1277630,1277631,YDR405W,.,+
chrVI,207436,207437,YFR027W,.,+
chrXVI,692433,692434,YPR073C,.,-
chrXVI,39098,39099,YPL266W,.,+
chrXII,246098,246099,YLR050C,.,-
chrVII,411524,411525,YGL047W,.,+
chrXVI,159879,159880,YPL207W,.,+
chrV,195134,195135,YER020W,.,+
chrV,337915,337916,YER090W,.,+
chrXIV,442391,442392,YNL097C,.,-
chrXV,223233,223234,YOL056W,.,+
chrXIV,292704,292705,YNL185C,.,-
chrIV,1228574,1228575,YDR377W,.,+
chrXIV,381442,381443,YNL129W,.,+
chrIV,718496,718497,YDR131C,.,-
chrX,37962,37963,YJL209W,.,+
chrXIII,731166,731167,YMR229C,.,-
chrIV,704438,704439,YDR127W,.,+
chrXV,502746,502747,YOR094W,.,+
chrII,581429,581430,YBR172C,.,-
chrIV,626055,626056,YDR090C,.,-
chrXV,682167,682168,YOR185C,.,-
chrXVI,352351,352352,YPL106C,.,-
chrXI,279043,279044,YKL085W,.,+
chrVII,591218,591219,YGR049W,.,+
chrIX,325988,325989,YIL014W,.,+
chrXI,182814,182815,YKL139W,.,+
chrXIV,287838,287839,YNL187W,.,+
chrXIV,284102,284103,YNL189W,.,+
chrXV,357470,357471,YOR014W,.,+
chrXV,158850,158851,YOL087C,.,-
chrX,594557,594558,YJR090C,.,-
chrXVI,736663,736664,YPR104C,.,-
chrXIII,56524,56525,YML106W,.,+
chrV,264079,264080,YER054C,.,-
chrIV,622007,622008,YDR089W,.,+
chrV,192736,192737,YER019W,.,+
chrIII,272848,272849,YCR090C,.,-
chrIV,504821,504822,YDR032C,.,-
chrXVI,212139,212140,YPL178W,.,+
chrIV,229729,229730,YDL130W,.,+
chrV,292989,292990,YER068W,.,+
chrVII,739755,739756,YGR124W,.,+
chrXVI,418373,418374,YPL072W,.,+
chrV,399200,399201,YER118C,.,-
chrX,658627,658628,YJR126C,.,-
chrII,742534,742535,YBR269C,.,-
chrV,475060,475061,YER154W,.,+
chrII,21253,21254,YBL104C,.,-
chrIV,431477,431478,YDL012C,.,-
chrIV,38518,38519,YDL232W,.,+
chrVIII,332313,332314,YHR110W,.,+
chrXV,851808,851809,YOR287C,.,-
chrII,182063,182064,YBL021C,.,-
chrX,26056,26057,YJL216C,.,-
chrXI,392250,392251,YKL025C,.,-
chrVIII,229361,229362,YHR066W,.,+
chrIV,283149,283150,YDL100C,.,-
chrXV,274327,274328,YOL026C,.,-
chrVI,203407,203408,YFR024C-A,.,-
chrVII,310990,310991,YGL103W,.,+
chrXI,78622,78623,YKL194C,.,-
chrXIV,366055,366056,YNL138W-A,.,+
chrII,111456,111457,YBL058W,.,+
chrV,214726,214727,YER031C,.,-
chrXV,759800,759801,YOR223W,.,+
chrXV,802287,802288,YOR250C,.,-
chrIV,212026,212027,YDL139C,.,-
chrVII,238371,238372,YGL141W,.,+
chrXI,48211,48212,YKL207W,.,+
chrVII,131542,131543,YGL195W,.,+
chrIV,393895,393896,YDL033C,.,-
chrIV,503512,503513,YDR031W,.,+
chrXV,716822,716823,YOR196C,.,-
chrIX,240693,240694,YIL066C,.,-
chrX,569387,569388,YJR069C,.,-
chrXVI,767761,767762,YPR118W,.,+
chrIV,363572,363573,YDL052C,.,-
chrXI,469721,469722,YKR016W,.,+
chrII,680044,680045,YBR230C,.,-
chrXIII,788879,788880,YMR259C,.,-
chrIX,374302,374303,YIR008C,.,-
chrIV,190925,190926,YDL147W,.,+
chrXV,813984,813985,YOR260W,.,+
chrVII,676619,676620,YGR096W,.,+
chrXII,550296,550297,YLR201C,.,-
chrXIII,872628,872629,YMR302C,.,-
chrIV,811635,811636,YDR173C,.,-
chrXVI,223137,223138,YPL173W,.,+
chrIV,1405858,1405859,YDR473C,.,-
chrXV,247142,247143,YOL044W,.,+
chrIV,264116,264117,YDL111C,.,-
chrXV,52803,52804,YOL145C,.,-
chrX,644118,644119,YJR118C,.,-
chrXIII,217342,217343,YML029W,.,+
chrXII,136323,136324,YLL007C,.,-
chrXVI,596724,596725,YPR019W,.,+
chrIV,361311,361312,YDL054C,.,-
chrIV,965085,965086,YDR254W,.,+
chrXVI,338647,338648,YPL112C,.,-
chrVIII,335690,335691,YHR112C,.,-
chrX,156158,156159,YJL137C,.,-
chrXV,661706,661707,YOR175C,.,-
chrVII,670353,670354,YGR093W,.,+
chrIII,56563,56564,YCL038C,.,-
chrXI,462744,462745,YKR011C,.,-
chrV,107206,107207,YEL024W,.,+
chrIV,497385,497386,YDR027C,.,-
chrVIII,108715,108716,YHR002W,.,+
chrIII,91219,91220,YCL018W,.,+
chrVIII,170458,170459,YHR030C,.,-
chrIV,305113,305114,YDL084W,.,+
chrXII,404194,404195,YLR130C,.,-
chrX,257269,257270,YJL092W,.,+
chrXIV,85971,85972,YNL291C,.,-
chrVII,383483,383484,YGL063W,.,+
chrIV,213128,213129,YDL138W,.,+
chrVII,190840,190841,YGL167C,.,-
chrV,430840,430841,YER132C,.,-
chrXIV,759204,759205,YNR067C,.,-
chrXIV,87754,87755,YNL289W,.,+
chrIV,60549,60550,YDL223C,.,-
chrV,139911,139912,YEL009C,.,-
chrIV,13601,13602,YDL245C,.,-
chrVIII,12529,12530,YHL046C,.,-
chrIII,9223,9224,YCL069W,.,+
chrXII,287976,287977,YLR080W,.,+
chrV,568093,568094,YER188W,.,+
chrXVI,455677,455678,YPL054W,.,+
chrXIV,180981,180982,YNL249C,.,-
chrXII,827840,827841,YLR348C,.,-
chrIV,1355524,1355525,YDR447C,.,-
chrIV,1428103,1428104,YDR486C,.,-
chrXV,58644,58645,YOL140W,.,+
chrX,572118,572119,YJR072C,.,-
chrXV,792236,792237,YOR243C,.,-
chrIV,1059626,1059627,YDR299W,.,+
chrVII,306556,306557,YGL106W,.,+
chrIV,78420,78421,YDL212W,.,+
chrXV,712555,712556,YOR194C,.,-
chrIV,781409,781410,YDR163W,.,+
chrIV,617349,617350,YDR086C,.,-
chrXVI,25010,25011,YPL273W,.,+
chrIV,1045110,1045111,YDR292C,.,-
chrXIV,342135,342136,YNL156C,.,-
chrIV,106810,106811,YDL197C,.,-
chrIV,644972,644973,YDR098C,.,-
chrII,675374,675375,YBR228W,.,+
chrXVI,454936,454937,YPL055C,.,-
chrVIII,445761,445762,YHR171W,.,+
chrXV,195009,195010,YOL072W,.,+
chrXIV,694784,694785,YNR036C,.,-
chrXI,605383,605384,YKR088C,.,-
chrII,670262,670263,YBR223C,.,-
